TICKER;FECHA DE PAGO;RENTA;AMORTIZACION
GD41;9/7/2029;0,98;2,25
AE38;9/1/2030;16,59;39,05
AL30;9/1/2030;7,27;415,28
AL35;9/1/2030;0,52;0
GD30;9/1/2030;1,45;82,64
GD35;9/1/2030;12,6;0
GD38;9/1/2030;6,05;14,23
GD41;9/1/2030;1,32;2,25
AE38;9/7/2030;15,62;39,05
AL30;9/7/2030;3,63;415,28
AL35;9/7/2030;0,52;0
GD30;9/7/2030;0,72;82,64
GD35;9/7/2030;12,6;0
GD38;9/7/2030;5,69;14,23
GD41;9/7/2030;1,26;2,25
AE38;9/1/2031;14,64;39,05
AL35;9/1/2031;0,52;2,1
GD35;9/1/2031;12,6;50,4
GD38;9/1/2031;5,34;14,23
GD41;9/1/2031;1,21;2,25
AE38;9/7/2031;13,67;39,05
AL35;9/7/2031;0,47;2,1
GD35;9/7/2031;11,34;50,4
GD38;9/7/2031;4,98;14,23
GD41;9/7/2031;1,15;2,25
AE38;9/1/2032;12,69;39,05
AL35;9/1/2032;0,42;2,1
GD35;9/1/2032;10,08;50,4
GD38;9/1/2032;4,62;14,23
GD41;9/1/2032;1,1;2,25
AE38;9/7/2032;11,71;39,05
AL35;9/7/2032;0,37;2,1
GD35;9/7/2032;8,82;50,4
GD38;9/7/2032;4,27;14,23
GD41;9/7/2032;1,04;2,25
AE38;9/1/2033;10,74;39,05
AL35;9/1/2033;0,32;2,1
GD35;9/1/2033;7,56;50,4
GD38;9/1/2033;3,91;14,23
GD41;9/1/2033;0,99;2,25
AE38;9/7/2033;9,76;39,05
AL35;9/7/2033;0,26;2,1
GD35;9/7/2033;6,3;50,4
GD38;9/7/2033;3,56;14,23
GD41;9/7/2033;0,93;2,25
AE38;9/1/2034;8,79;39,05
AL35;9/1/2034;0,21;2,1
GD35;9/1/2034;5,04;50,4
GD38;9/1/2034;3,2;14,23
GD41;9/1/2034;0,88;2,25
AE38;9/7/2034;7,81;39,05
AL35;9/7/2034;0,16;2,1
GD35;9/7/2034;3,78;50,4
GD38;9/7/2034;2,85;14,23
GD41;9/7/2034;0,82;2,25
AE38;9/1/2035;6,83;39,05
AL35;9/1/2035;0,1;2,1
GD35;9/1/2035;2,52;50,4
GD38;9/1/2035;2,49;14,23
GD41;9/1/2035;0,77;2,25
AE38;9/7/2035;5,86;39,05
AL35;9/7/2035;0,05;2,1
GD35;9/7/2035;1,26;50,4
GD38;9/7/2035;2,13;14,23
GD41;9/7/2035;0,71;2,25
AE38;9/1/2036;4,88;39,05
GD38;9/1/2036;1,78;14,23
GD41;9/1/2036;0,66;2,25
AE38;9/7/2036;3,9;39,05
GD38;9/7/2036;1,42;14,23
GD41;9/7/2036;0,6;2,25
AE38;9/1/2037;2,93;39,05
GD38;9/1/2037;1,07;14,23
GD41;9/1/2037;0,55;2,25
AE38;9/7/2037;1,95;39,05
GD38;9/7/2037;0,71;14,23
GD41;9/7/2037;0,49;2,25
AE38;9/1/2038;0,98;39,05
GD38;9/1/2038;0,36;14,23
GD41;9/1/2038;0,44;2,25
GD41;9/7/2038;0,38;2,25
GD41;9/1/2039;0,33;2,25
GD41;9/7/2039;0,27;2,25
GD41;9/1/2040;0,22;2,25
GD41;9/7/2040;0,16;2,25
GD41;9/1/2041;0,11;2,25
GD41;9/7/2041;0,05;2,25
CLI1O;22/6/2026;30,84;0
CLI1O;21/12/2026;30,84;0
CLI1O;22/6/2027;30,84;0
CLI1O;20/12/2027;30,84;0
CLI1O;20/6/2028;30,84;0
CLI1O;20/12/2028;30,84;0
CLI1O;20/6/2029;30,84;0
CLI1O;20/12/2029;30,84;0
CLI1O;20/6/2030;30,84;0
CLI1O;20/12/2030;30,84;0
CLI1O;20/6/2031;30,84;0
CLI1O;22/12/2031;30,84;0
CLI1O;22/6/2032;30,84;0
CLI1O;20/12/2032;30,84;0
CLI1O;21/6/2033;30,84;0
CLI1O;20/12/2033;30,84;0
CLI1O;20/6/2034;30,84;0
CLI1O;20/12/2034;30,84;881
CLSIO;10/6/2026;84,32;0
CLSIO;14/12/2026;84,32;0
CLSIO;10/6/2027;147,56;0
CLSIO;10/12/2027;147,56;0
CLSIO;12/6/2028;179,18;0
CLSIO;11/12/2028;179,18;0
CLSIO;11/6/2029;179,18;0
CLSIO;10/12/2029;179,18;0
CLSIO;10/6/2030;179,18;0
CLSIO;10/12/2030;179,18;0
CLSIO;10/6/2031;179,18;0
CLSIO;10/12/2031;179,18;0
MR35O;28/8/2026;20,94;0
MR35O;1/3/2027;21,28;0
MR35O;30/8/2027;20,94;433
MR39O;2/11/2026;70,37;19,49
MR39O;3/5/2027;69,3;32,48
MR39O;1/11/2027;67,52;32,48
MR39O;2/5/2028;65,73;97,43
MR39O;1/11/2028;60,37;97,43
MR39O;2/5/2029;55,01;142,89
MR39O;1/11/2029;47,15;142,89
MR39O;2/5/2030;39,29;142,89
MR39O;1/11/2030;31,44;142,89
MR39O;2/5/2031;23,58;142,89
MR39O;3/11/2031;15,72;285,78
SNEBO;14/7/2026;38,56;0
SNEBO;14/1/2027;39,42;0
SNEBO;14/7/2027;38,78;48,88
SNEBO;14/1/2028;37,45;48,88
SNEBO;14/7/2028;35,09;97,75
SNEBO;15/1/2029;31,54;97,75
SNEBO;16/7/2029;27,15;684,25
